키워드,남성(%),여성(%),연령대별 특성,12세 이하(%),13~19세(%),20~24세(%),25~29세(%),30~39세(%),40~49세(%),50세 이상(%),Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
부대찌개,44.85,55.14,,0.05,4.95,8.93,11.82,26.88,32.66,14.68,209100,209300,212160,184790,217070,191060,198540,203320,210200,225700,209200,238200,218500,232300,236600,215500,228100,209600,215120,237600,216300,218700,212800,241000,212800,234500,239100,207100,229700,203600,208300,192240,199100,228400,211300,219300,221200,209200,215700,191500,204700,171100,194600,178900,181500,193700,194000,210700
닭갈비,37.89,62.1,,0.08,6.49,9.5,10.93,24.54,32.09,16.33,176400,172100,184980,174160,191300,185500,212000,205300,228200,228600,219200,267200,239600,220400,225500,239200,245400,220200,242500,227100,229400,231500,213200,230700,197800,205140,215400,201200,220700,218100,232200,235400,233000,240900,201400,205300,179700,179700,189120,187790,200800,177200,199200,201400,200200,210600,173800,191930
프랭크버거,42.06,57.93,,0.11,9.42,12.7,13.38,25.82,26.01,12.52,138200,158600,194600,194600,233900,256100,270800,280100,342600,363200,306200,310700,272800,262300,279400,378400,390000,302400,307900,324100,298800,271700,239000,239100,211900,261800,287500,262000,248200,231400,273900,204500,209600,214300,230300,201200,200600,206600,192400,162900,174200,198300,224000,216700,185600,184900,170000,161100
던킨 도너츠,27.72,72.27,,0.15,11.06,11.6,10.33,22.45,31.03,13.35,216000,273100,235800,226100,215200,250800,288700,275000,268700,250100,240900,225600,183900,252500,217500,186510,204500,191200,228600,200500,191900,192100,179200,173090,181100,236400,184200,171350,160600,160100,165100,198500,171500,176700,176600,275500,207200,227000,200500,174300,164600,179500,175200,164300,157600,191400,158900,216200
노랑통닭,49.45,50.54,,0.08,5.37,7.76,9.05,23.36,34.91,19.44,265700,271500,219000,208100,233600,281600,288800,257300,246400,244000,193260,193920,243800,204100,188390,162020,181700,172660,256100,227800,207500,188100,162650,170770,162900,195000,225700,212400,191000,172200,177400,185300,180800,169860,151840,179900,187500,172600,169490,153380,167710,209800,200100,193500,189000,164330,181500,203300
햄버거,50.98,49.01,,0.31,7.71,12.36,12.64,25.94,28.53,12.48,158400,153020,158600,141910,172040,169340,177730,174680,186860,192680,160500,168800,159600,144530,160940,156790,183400,174200,188800,193700,185900,180400,167690,169110,169300,159670,165900,166560,169400,196300,237500,194800,217000,191100,188500,201500,165100,155400,169640,151250,179100,177000,223100,200500,184700,186400,183900,177870
크리스피 도넛,28.51,71.48,,0.09,10.89,15.42,12.74,24.16,26.95,9.73,173050,205700,242400,220200,207600,175020,173780,166680,172240,178730,165830,189090,181100,245300,214870,202900,315900,257100,164990,151860,194110,248500,211900,195320,178600,197100,188300,195000,188400,179700,190500,161130,155200,161680,155400,169070,145590,289000,151010,161800,196600,159900,173100,182500,176900,194900,165700,150940
쿠팡이츠,43.58,56.41,,0.16,2.97,4.69,8.22,24.87,31.02,28.03,271300,315300,319000,214500,203400,176500,134600,105600,115600,93800,103300,95500,104800,109000,109800,82800,82200,76400,80200,84400,104900,105000,100000,115300,110900,128400,161800,112800,277300,213800,176700,167300,210000,200300,180500,180100,182200,185300,196100,191400,185300,185600,163100,167000,186600,167300,159900,163900
신전떡볶이,26.77,73.22,,0.29,14.22,13.31,12.42,22.27,26.79,10.66,245800,281200,326700,311800,311900,259600,283700,267100,280200,283900,254400,256700,246600,239800,259400,223800,230800,220700,242700,218600,229400,247000,225500,225400,190900,193100,219100,215300,199000,196800,208500,190000,194300,196000,196700,190100,172800,170600,175600,154820,165380,177400,165060,156550,162600,172660,161900,209500
맘스터치 메뉴,41.7,58.29,,0.23,8.08,10.35,11.04,21.54,28.71,20.01,235400,255800,253800,218500,254700,227200,231300,227600,255900,263100,213100,204200,244200,210900,200700,192800,215300,208800,196100,178700,176000,174700,155200,163900,159900,164800,157900,142800,157500,172400,166900,156600,162300,169000,161100,167200,147900,150300,150700,160000,177000,182900,173500,162000,179200,173200,164900,163300
스텔라 떡볶이,28.42,71.57,40~49세,0.53,6.27,5.16,6.66,23.25,40.48,17.62,2230,1380,8930,8390,17030,20810,32320,42020,52250,48940,38110,51230,56590,73700,61010,56160,72030,87250,101720,101290,101440,169840,171450,158690,235990,171120,230830,211010,228980,173760,196670,162750,191560,192810,159300,324100,189700,196250,238220,193420,191470,174380,145510,101930,129480,134860,97280,93590
족발,54.65,45.34,,0.09,4.71,8.89,10.4,23.32,33.75,18.81,164120,182950,179500,175570,188740,174100,195810,205970,220640,214160,157490,185310,168220,199790,189000,178880,191130,188470,223850,213450,205440,207200,172180,182330,182700,216200,219400,187330,187200,170900,183700,185100,200200,197400,160820,156020,149520,152360,166900,135760,151420,145420,147830,158050,175300,174790,145380,146650
노모어피자,35.67,64.32,,0.07,6.57,11.13,13.06,25.86,28.24,15.03,,,,,,,,,,,,,,26150,18680,13450,25780,48460,59910,51230,66160,64470,158500,228900,133700,190000,140300,130900,121100,219600,384200,270800,190800,274200,172600,189300,140300,143800,141100,124400,119200,107900,169000,220800,246600,167800,110000,120800
자담치킨,42.73,57.26,,0.09,4.21,7.35,10.41,26.58,32.84,18.48,188200,246700,251900,235000,223800,176400,176900,180600,191000,182900,154070,150190,190600,164200,161260,145770,161900,167400,155200,191400,184800,185400,136680,151140,127550,157530,165100,135740,149400,111460,112870,130710,162700,145360,139870,132390,121240,146300,154290,129230,137900,201800,133470,157300,157100,146410,105620,133970
짜장면,43.94,56.05,,0.31,11.93,13.41,11.18,22.9,26.82,13.41,127440,143560,148280,148840,152740,138840,141540,157460,145760,146480,142550,151650,128620,128730,141990,152100,152540,161210,139870,143700,162230,143040,154500,155870,135030,148450,150860,154500,155750,151450,153610,169880,168760,167370,140190,148460,144860,157700,149990,130910,132730,144690,147950,144730,128640,133210,121740,133760
콩나물국밥,40.22,59.77,40~49세,0.04,5.07,6.97,7.76,20.54,36.7,22.89,144710,112650,125690,103380,116520,105870,113690,114320,113250,127670,119600,151490,131520,154520,162390,132220,129060,131550,130980,111310,115240,128080,141340,155860,136430,147220,154650,131650,132080,121510,123220,111390,111660,132320,139480,145630,131310,140340,168060,127000,130420,119270,130250,127400,124720,145960,131170,168980
